generation,fe,point_id,makespan,energy
0,100,1,58.0,5974.0
0,100,2,90.0,5876.0
1,200,1,58.0,5974.0
1,200,2,90.0,5876.0
2,300,1,58.0,5974.0
2,300,2,62.0,5824.0
3,400,1,58.0,5974.0
3,400,2,62.0,5824.0
3,400,3,70.0,5756.0
3,400,4,74.0,5606.0
3,400,5,77.0,5537.0
4,500,1,58.0,5974.0
4,500,2,60.0,5406.0
5,600,1,57.0,5620.0
5,600,2,60.0,5406.0
5,600,3,70.0,5292.0
6,700,1,57.0,5620.0
6,700,2,60.0,5406.0
6,700,3,69.0,5315.0
6,700,4,70.0,5292.0
7,800,1,55.0,5579.0
7,800,2,57.0,5504.0
7,800,3,58.0,5336.0
7,800,4,63.0,5221.0
7,800,5,64.0,5198.0
8,900,1,50.0,5317.0
8,900,2,60.0,5261.0
8,900,3,63.0,5221.0
8,900,4,64.0,5198.0
8,900,5,69.0,5170.0
9,1000,1,50.0,5317.0
9,1000,2,51.0,5207.0
9,1000,3,54.0,4964.0
10,1100,1,50.0,5317.0
10,1100,2,51.0,5207.0
10,1100,3,54.0,4964.0
11,1200,1,50.0,5317.0
11,1200,2,51.0,5207.0
11,1200,3,52.0,5155.0
11,1200,4,53.0,4958.0
12,1300,1,50.0,5317.0
12,1300,2,51.0,4946.0
12,1300,3,53.0,4900.0
13,1400,1,49.0,5137.0
13,1400,2,51.0,4946.0
13,1400,3,53.0,4900.0
13,1400,4,57.0,4837.0
14,1500,1,47.0,5154.0
14,1500,2,49.0,5137.0
14,1500,3,50.0,4998.0
14,1500,4,51.0,4946.0
14,1500,5,53.0,4900.0
14,1500,6,57.0,4837.0
15,1600,1,47.0,5154.0
15,1600,2,49.0,5079.0
15,1600,3,50.0,4998.0
15,1600,4,51.0,4946.0
15,1600,5,52.0,4894.0
15,1600,6,53.0,4842.0
15,1600,7,57.0,4837.0
15,1600,8,58.0,4814.0
16,1700,1,47.0,5154.0
16,1700,2,49.0,5021.0
16,1700,3,50.0,4882.0
16,1700,4,53.0,4842.0
16,1700,5,55.0,4767.0
17,1800,1,47.0,5154.0
17,1800,2,48.0,4928.0
17,1800,3,50.0,4882.0
17,1800,4,52.0,4865.0
17,1800,5,53.0,4842.0
17,1800,6,55.0,4767.0
18,1900,1,46.0,5061.0
18,1900,2,48.0,4928.0
18,1900,3,50.0,4882.0
18,1900,4,52.0,4836.0
18,1900,5,53.0,4784.0
18,1900,6,55.0,4767.0
19,2000,1,46.0,5061.0
19,2000,2,48.0,4928.0
19,2000,3,50.0,4853.0
19,2000,4,51.0,4801.0
19,2000,5,52.0,4749.0
20,2100,1,46.0,5061.0
20,2100,2,48.0,4928.0
20,2100,3,49.0,4905.0
20,2100,4,50.0,4853.0
20,2100,5,51.0,4801.0
20,2100,6,52.0,4749.0
21,2200,1,46.0,5003.0
21,2200,2,48.0,4899.0
21,2200,3,50.0,4853.0
21,2200,4,51.0,4801.0
21,2200,5,52.0,4749.0
22,2300,1,46.0,5003.0
22,2300,2,48.0,4754.0
22,2300,3,52.0,4749.0
23,2400,1,46.0,5003.0
23,2400,2,47.0,4980.0
23,2400,3,48.0,4754.0
23,2400,4,52.0,4749.0
24,2500,1,45.0,5055.0
24,2500,2,46.0,4974.0
24,2500,3,47.0,4922.0
24,2500,4,48.0,4754.0
24,2500,5,51.0,4743.0
25,2600,1,45.0,5055.0
25,2600,2,46.0,4916.0
25,2600,3,47.0,4893.0
25,2600,4,48.0,4754.0
25,2600,5,51.0,4743.0
26,2700,1,45.0,5055.0
26,2700,2,46.0,4916.0
26,2700,3,47.0,4893.0
26,2700,4,48.0,4754.0
26,2700,5,50.0,4737.0
27,2800,1,45.0,5055.0
27,2800,2,46.0,4887.0
27,2800,3,47.0,4806.0
27,2800,4,48.0,4754.0
27,2800,5,49.0,4731.0
28,2900,1,45.0,4997.0
28,2900,2,46.0,4742.0
28,2900,3,49.0,4731.0
29,3000,1,44.0,5049.0
29,3000,2,45.0,4968.0
29,3000,3,46.0,4742.0
29,3000,4,49.0,4731.0
30,3100,1,44.0,4991.0
30,3100,2,45.0,4968.0
30,3100,3,46.0,4742.0
30,3100,4,49.0,4731.0
31,3200,1,44.0,4991.0
31,3200,2,45.0,4968.0
31,3200,3,46.0,4742.0
31,3200,4,49.0,4731.0
32,3300,1,44.0,4991.0
32,3300,2,45.0,4939.0
32,3300,3,46.0,4742.0
32,3300,4,49.0,4731.0
33,3400,1,44.0,4991.0
